name frequency mean_age
ivette 1254 21.8
nelly 1254 46.7
laureana 1253 68.7
maria amaya 1249 50.2
ibtissam 1244 19.9
maria violeta 1244 51.4
stefania 1243 31
maria montaña 1240 43.4
carmina 1239 48.1
ermitas 1238 70.6
isabel cristina 1235 39.8
maria monica 1235 41.8
chiara 1232 20.5
silvina 1229 65.4
hafsa 1222 11.4
sol 1219 16.3
sabah 1218 29.9
iraide 1216 18.3
carmen teresa 1214 48.8
joana maria 1212 35.3
enma 1211 22.1
kiara 1208 9.2
alegria 1207 47.7
marioara 1206 47.8
remei 1202 61.9
celedonia 1201 70.2
fadoua 1200 27.2
juanita 1200 60.8
maria florentina 1200 58
jacoba 1199 66.4
miren nekane 1199 49.7
nemesia 1197 72.4
maria castillo 1193 50.3
leonarda 1191 66
elizabet 1190 29.8
maria argentina 1190 64.7
asma 1189 23.8
maria elsa 1188 54.7
maria camila 1187 20
maria adelaida 1184 53.2
maritza 1182 44
mary 1181 52.6
flavia 1180 23.6
juana rosa 1179 55.1
maria natalia 1177 40.6
fuencisla 1175 62.1
giovanna 1175 31.4
ana vanessa 1174 33.4
carmen nieves 1174 49.8
leonides 1171 73.4
margaret 1170 62
jordina 1169 26.6
rosa carmen 1165 53.6
itsaso 1162 21.6
amor 1161 57.9
lilia 1159 42.1
nadiya 1154 45.8
dosinda 1151 71.7
antolina 1149 70.4
peregrina 1149 69.8
yuliya 1148 32
doina 1147 45.1
basma 1145 7.3
hasna 1144 27.5
evarista 1143 72
